Sec,Queue,Dynamic
0,0.000000,0.000000
0.066667,4.049400,20.247000
0.133333,3.817248,5.597760
0.200000,3.732588,3.261960
0.266667,4.004724,6.673860
0.333333,6.150192,15.691680
0.400000,7.305240,8.416020
0.466667,9.524148,16.232280
0.533333,10.314036,15.769200
0.600000,10.391964,10.950720
0.666667,10.604532,22.610340
0.733333,10.974384,25.735620
0.800000,10.929504,16.922820
0.866667,10.376256,21.822900
0.933333,9.782820,19.808400
1.000000,9.462132,11.981940
1.066667,8.980284,18.038700
1.133333,8.622060,17.536860
1.200000,8.611656,11.725920
1.266667,8.350944,15.349980
1.333333,8.120424,14.285100
1.400000,8.162448,9.519660
1.466667,7.972320,13.377300
1.533333,7.776276,11.867700
1.600000,7.589820,6.781980
1.666667,7.227108,9.579840
1.733333,7.230168,9.974580
1.800000,7.328496,7.216500
1.866667,7.887456,12.625560
1.933333,8.471100,13.668000
2.000000,8.600844,9.205500
2.066667,8.832792,15.595800
2.133333,8.764452,15.458100
2.200000,8.681220,9.851160
2.266667,8.386236,14.166780
2.333333,8.167752,13.874040
2.400000,8.115120,9.540060
2.466667,7.985172,12.576600
2.533333,7.813812,11.392380
2.600000,7.770156,8.269140
2.666667,7.652244,10.465200
2.733333,7.432332,9.433980
2.800000,7.342980,6.891120
2.866667,7.171620,8.436420
2.933333,6.970272,8.244660
3.000000,6.903564,5.384580
3.066667,6.793200,6.709560
3.133333,6.686508,6.356640
3.200000,6.667128,3.916800
3.266667,6.542892,5.634480
3.333333,6.456396,5.350920
3.400000,6.429060,3.542460
3.466667,6.414372,5.352960
3.533333,6.358884,5.470260
3.600000,6.386832,2.993700
3.666667,6.519840,5.900700
3.733333,6.750564,6.457620
3.800000,6.923964,3.562860
3.866667,7.095936,6.041460
3.933333,7.242612,5.305020
4.000000,7.285452,3.036540
4.066667,7.276680,5.254020
4.133333,7.182228,5.789520
4.200000,7.153464,3.653640
4.266667,6.956808,7.483740
4.333333,6.545952,5.376420
4.400000,6.413352,2.374560
4.466667,6.224856,2.792760
4.533333,6.241380,2.700960
4.600000,6.266268,1.354560
4.666667,6.158556,2.356200
4.733333,6.169368,2.189940
4.800000,6.188136,1.084260
4.866667,6.217716,2.347020
4.933333,6.243216,2.278680
5.000000,6.240156,1.352520
5.066667,6.224448,2.649960
5.133333,6.178344,2.512260
5.200000,6.182628,1.238280
5.266667,6.125304,2.827440
5.333333,6.140604,2.911080
5.400000,6.145296,1.620780
5.466667,6.184872,2.972280
5.533333,6.792180,5.840520
5.600000,7.171416,4.720560
5.666667,7.882152,9.462540
5.733333,9.101052,16.423020
5.800000,9.714480,10.732440
5.866667,11.097804,19.219860
5.933333,12.281004,20.109300
6.000000,12.720420,11.370960
6.066667,13.347108,19.422840
6.133333,13.699213,20.430600
6.200000,13.800192,15.537660
6.266667,14.175144,25.081800
6.333333,14.386285,26.382300
6.400000,14.278573,17.938740
6.466667,14.152296,25.325580
6.533333,14.004803,22.480800
6.600000,13.924632,15.718200
6.666667,13.508880,20.676420
6.733333,12.845268,19.323900
6.800000,12.834864,13.448700
6.866667,12.673092,19.206600
6.933333,12.466644,18.587460
7.000000,12.476844,12.631680
7.066667,12.212664,17.511360
7.133333,12.105564,16.998300
7.200000,12.050076,11.232240
