Sec,Queue,Dynamic
0,5.930280,2.965140
0.066667,5.788704,3.449844
0.133333,6.021060,3.714513
0.200000,7.011480,4.655088
0.266667,8.197944,5.522515
0.333333,8.701212,5.652950
0.400000,9.452952,6.564105
0.466667,9.947448,7.625782
0.533333,10.271604,7.820168
0.600000,10.437864,8.887309
0.666667,10.555164,9.725948
0.733333,10.629828,9.799057
0.800000,10.683684,10.448295
0.866667,10.780380,11.024450
0.933333,10.763652,10.935273
1.000000,10.875036,11.444880
1.066667,10.889316,11.853138
1.133333,11.010696,11.707204
1.200000,11.106168,11.992534
1.266667,10.914000,12.252799
1.333333,11.039664,12.015797
1.400000,11.032728,12.287913
1.466667,11.087400,12.502932
1.533333,11.196540,12.203585
1.600000,11.369532,12.458452
1.666667,11.885856,12.810131
1.733333,11.986836,12.534022
1.800000,12.217560,12.916598
1.866667,12.530088,13.291924
1.933333,12.650040,13.008232
2.000000,12.696348,13.383677
2.066667,12.756324,13.695975
2.133333,12.827520,13.355252
2.200000,12.794880,13.595423
2.266667,12.838332,13.789239
2.333333,12.837108,13.400123
2.400000,12.886476,13.500453
2.466667,12.860772,13.538628
2.533333,12.885864,13.188139
2.600000,12.913200,13.230209
2.666667,12.891372,13.207586
2.733333,12.878724,12.838079
2.800000,12.937884,12.799589
2.866667,12.906468,12.735572
2.933333,12.816504,12.309839
3.000000,12.845676,12.254099
3.066667,12.893616,12.220049
3.133333,12.920544,11.786912
3.200000,12.863424,11.760107
3.266667,12.909732,11.686104
3.333333,12.954612,11.235880
3.400000,12.990720,11.259078
3.466667,13.096188,11.297398
3.533333,13.100064,10.776700
3.600000,13.292640,10.818378
3.666667,13.404636,10.845076
3.733333,13.502963,10.235276
3.800000,13.414836,10.236644
3.866667,13.294272,10.105276
3.933333,13.331196,9.559358
4.000000,13.368936,9.505102
4.066667,13.305288,9.376100
4.133333,13.252452,8.800896
4.200000,13.291620,8.636438
4.266667,13.316100,8.366944
4.333333,13.305084,7.857568
4.400000,13.261020,7.565593
4.466667,13.307736,7.353815
4.533333,13.356900,6.914846
4.600000,13.156164,6.714594
4.666667,13.214304,6.513456
4.733333,13.253472,6.118640
4.800000,13.295904,5.991786
4.866667,13.383624,5.875476
4.933333,13.385256,5.552823
5.000000,13.417080,5.486222
5.066667,13.368732,5.430464
5.133333,13.357104,5.136298
5.200000,13.422995,5.131852
5.266667,13.658819,5.284421
5.333333,13.848336,5.110531
5.400000,14.043565,5.337448
5.466667,14.216352,5.616235
5.533333,14.362008,5.547476
5.600000,15.034392,6.051284
5.666667,15.676992,6.598143
5.733333,15.974424,6.518811
5.800000,16.640077,6.965266
5.866667,17.287165,7.488353
5.933333,17.641104,7.450458
6.000000,18.077664,8.064664
6.066667,18.496067,8.724346
6.133333,18.600925,8.787863
6.200000,18.652739,9.450501
6.266667,18.392435,10.059523
6.333333,18.507901,10.034607
6.400000,18.559309,10.498008
6.466667,18.754128,10.817659
6.533333,18.900600,10.702445
6.600000,19.023000,10.984210
6.666667,19.110925,11.232699
6.733333,19.311456,11.072717
6.800000,19.427736,11.357235
6.866667,19.472003,11.657060
6.933333,19.579104,11.489118
7.000000,19.519944,11.786260
7.066667,19.667843,12.110502
7.133333,19.958749,12.023492
7.200000,20.543411,12.622463
7.266667,21.113389,13.095135
7.333333,21.459984,12.894872
7.400000,21.982429,13.326635
7.466667,22.457952,13.844966
7.533333,22.637064,13.669577
7.600000,22.931232,14.345883
7.666667,23.180317,15.113985
7.733333,23.344536,15.070876
7.800000,23.484480,15.879290
7.866667,23.498147,16.611759
7.933333,23.387987,16.413671
8.000000,23.265587,17.046190
8.066667,23.223768,17.576900
8.133333,23.212547,17.266590
8.200000,23.160528,17.760472
8.266666,23.198064,18.149782
8.333333,23.246616,17.736080
8.400000,23.163997,18.094068
8.466666,23.146656,18.432272
8.533334,23.133600,17.992258
8.600000,23.093208,18.298006
8.666667,23.059344,18.516468
8.733334,23.044045,17.952674
8.800000,23.005896,18.152016
8.866667,22.986312,18.252170
8.933333,22.973664,17.544976
9.000000,23.039352,17.654222
9.066667,23.011405,17.599748
9.133333,23.034253,16.795922
9.200000,23.034864,16.774850
9.266666,23.064851,16.764453
9.333333,23.075869,15.916554
9.400000,23.051795,15.888253
9.466666,23.115240,15.558924
9.533334,23.154000,14.672152
9.600000,23.050979,14.386301
9.666667,23.151757,14.049271
9.733334,23.309856,13.193614
9.800000,23.370445,12.996763
9.866667,23.301085,12.712191
9.933333,23.208672,11.980552
10.000000,23.009976,11.684483
10.066667,22.730904,11.486973
10.133333,22.638288,10.852866
10.200000,22.407971,10.721177
10.266666,22.173576,10.466079
10.333333,22.206829,9.859499
10.400000,22.007725,9.671597
10.466666,21.881448,9.502791
10.533334,21.808416,8.886154
10.600000,21.841872,8.696341
10.666667,21.825960,8.537239
10.733334,21.790669,8.008385
10.800000,21.764963,7.893191
10.866667,21.586872,7.754122
10.933333,21.575040,7.292257
11.000000,21.547704,7.120564
11.066667,21.508536,7.013062
11.133333,21.471203,6.603578
11.200000,21.363491,6.489940
11.266666,20.855123,6.412452
11.333333,20.900819,6.060479
11.400000,20.863283,5.999825
11.466666,20.752104,5.883017
11.533334,20.765568,5.493819
11.600000,20.729664,5.374163
11.666667,20.719464,5.248622
11.733334,20.728032,4.874516
11.800000,20.566056,4.783436
11.866667,20.493432,4.667907
11.933333,20.529949,4.296894
12.000000,20.553000,4.228591
12.066667,20.508936,4.122850
12.133333,20.556264,3.774519
12.200000,20.648675,3.738053
12.266666,20.691312,3.653214
12.333333,20.656835,3.402235
12.400000,20.544840,3.258463
12.466666,20.587680,3.123561
12.533334,20.616648,2.827525
12.600000,20.629296,2.629942
12.666667,20.660304,2.489858
12.733334,20.676419,2.289322
12.800000,20.605224,2.138012
12.866667,20.636640,1.975925
12.933333,20.733133,1.834534
13.000000,20.764141,1.699225
13.066667,20.856960,1.572244
13.133333,20.884499,1.458880
13.200000,20.932643,1.418052
13.266666,20.948557,1.394567
13.333333,20.998944,1.292748
13.400000,21.091763,1.304743
13.466666,21.184787,1.245873
13.533334,21.206003,1.139034
13.600000,21.304128,1.093470
13.666667,21.202128,1.124577
13.733334,21.177037,1.059651
13.800000,21.197437,1.081798
13.866667,21.142152,1.068172
13.933333,21.197640,0.984101
14.000000,21.332077,0.943525
14.066667,21.377363,0.901193
14.133333,21.302904,0.849833
14.200000,21.245376,0.876744
14.266666,21.247619,0.900454
14.333333,21.197027,0.855594
14.400000,21.135216,0.873565
14.466666,21.145619,0.808648
14.533334,21.160307,0.727784
14.600000,20.890211,0.708555
14.666667,20.897352,0.671258
14.733334,20.955696,0.628408
14.800000,20.841251,0.663895
14.866667,20.833091,0.647996
14.933333,20.833501,0.586256
15.000000,20.849005,0.529772
15.066667,20.805757,0.482303
15.133333,20.843496,0.436113
15.200000,20.837581,0.439218
15.266666,20.778419,0.476590
15.333333,20.760061,0.460755
15.400000,20.753123,0.456703
15.466666,20.862877,0.477537
15.533334,20.990579,0.460485
15.600000,21.180504,0.537245
15.666667,21.052800,0.606226
15.733334,21.004451,0.614658
15.800000,20.905920,0.704764
15.866667,20.693149,0.812787
15.933333,20.530560,0.809539
16.000000,20.301469,0.890051
16.066668,20.163768,0.943030
16.133333,20.165603,0.900135
16.200001,20.277395,0.932623
16.266666,20.056056,0.982671
16.333334,20.119704,0.930202
16.400000,20.113176,0.932960
16.466667,20.258221,0.949722
16.533333,20.278824,0.937982
16.600000,20.256179,0.998407
16.666666,20.220072,0.997711
16.733334,20.222928,0.944962
16.799999,20.148264,0.914725
16.866667,20.096040,0.862523
16.933332,20.101139,0.779127
17.000000,20.151936,0.728550
17.066668,20.131128,0.673953
17.133333,20.137859,0.607170
17.200001,20.119091,0.547065
17.266666,20.129293,0.493786
17.333334,20.158259,0.447264
17.400000,20.139288,0.405597
17.466667,20.163360,0.365037
17.533333,20.166419,0.328534
17.600000,20.147245,0.299250
17.666666,20.088899,0.284013
17.733334,20.096653,0.256836
17.799999,20.100528,0.245534
17.866667,20.108280,0.236383
17.933332,19.853891,0.226005
18.000000,19.831248,0.210136
18.066668,19.880413,0.205443
18.133333,19.908157,0.185918
18.200001,19.949568,0.195478
18.266666,19.988736,0.235397
18.333334,20.039123,0.237561
18.400000,20.227619,0.348649
18.466667,20.381843,0.495140
18.533333,20.423459,0.570678
18.600000,20.543208,0.714142
18.666666,20.768221,0.863966
18.733334,20.814936,0.957293
18.799999,20.933053,1.081884
18.866667,20.972832,1.181980
18.933332,21.020568,1.220862
19.000000,21.134808,1.367647
19.066668,21.056472,1.601857
19.133333,20.971200,1.651077
19.200001,20.793720,1.747395
19.266666,20.617261,1.778696
19.333334,20.566259,1.705580
19.400000,20.421624,1.675068
19.466667,20.284536,1.607725
19.533333,20.213544,1.486937
19.600000,19.823293,1.407195
19.666666,19.774739,1.298402
19.733334,19.740467,1.181414
19.799999,19.674781,1.095096
19.866667,19.654787,1.001499
19.933332,19.696403,0.901349
20.000000,19.748016,0.813866
20.066668,19.755971,0.736559
20.133333,19.749648,0.664739
20.200001,19.775555,0.607139
20.266666,19.839613,0.566928
20.333334,19.902445,0.522475
20.400000,19.933859,0.498685
20.466667,20.121539,0.518177
20.533333,20.183149,0.537351
20.600000,20.193347,0.580108
20.666666,20.289024,0.658267
20.733334,20.328192,0.661494
20.799999,20.341859,0.769459
20.866667,20.487923,0.868157
20.933332,20.551165,0.839175
21.000000,20.670096,0.855830
21.066668,20.622360,0.848277
21.133333,20.563608,0.823119
21.200001,20.450592,0.838217
21.266666,19.983432,0.905254
21.333334,20.037696,0.900510
21.400000,20.118480,0.917865
21.466667,20.113789,0.911555
21.533333,20.143776,0.885271
21.600000,20.131741,0.885892
21.666666,20.195795,0.861053
21.733334,20.165197,0.795654
21.799999,20.213952,0.772800
21.866667,20.240880,0.752946
21.933332,20.238024,0.701928
22.000000,20.280048,0.678655
22.066668,20.260056,0.641797
22.133333,20.247613,0.587716
22.200001,20.249856,0.556994
22.266666,20.232312,0.530059
22.333334,20.216605,0.482255
22.400000,20.215789,0.483499
22.466667,20.276784,0.488087
22.533333,20.380416,0.465289
22.600000,20.528723,0.506072
22.666666,20.633171,0.554609
22.733334,20.766995,0.584828
22.799999,21.071976,0.742891
22.866667,21.346355,0.900550
22.933332,21.391235,1.002969
23.000000,21.669491,1.201940
23.066668,21.856355,1.478730
23.133333,21.885120,1.628391
