Sec,Queue,Dynamic
0,10.299756,51.498780
0.066667,9.724068,14.811420
0.133333,9.550056,9.480900
0.200000,9.697140,16.751460
0.266667,9.834636,15.782460
0.333333,9.922968,8.402760
0.400000,10.046592,13.862820
0.466667,10.101468,13.172280
0.533333,10.130232,6.117960
0.600000,9.905220,13.276320
0.666667,9.672252,11.995200
0.733333,9.577188,6.781980
0.800000,9.339324,10.865040
0.866667,9.276900,10.753860
0.933333,9.303828,6.391320
1.000000,9.440508,10.396860
1.066667,9.506400,10.078620
1.133333,9.598404,6.661620
1.200000,9.724068,9.515580
1.266667,9.493344,9.580860
1.333333,9.600240,6.485160
1.400000,9.639204,9.710400
1.466667,9.736716,9.599220
1.533333,9.837288,6.349500
1.600000,9.869316,9.695100
1.666667,10.188372,10.407060
1.733333,10.273032,6.618780
1.800000,10.479276,10.591680
1.866667,10.715508,10.834440
1.933333,10.825872,6.770760
2.000000,10.939908,11.088420
2.066667,11.001924,10.818120
2.133333,11.070876,6.718740
2.200000,11.067000,10.373400
2.266667,11.115552,10.369320
2.333333,11.115348,6.550440
2.400000,11.157984,9.701220
2.466667,11.170020,9.287100
2.533333,11.191848,6.622860
2.600000,11.242440,9.255480
2.666667,11.242032,8.786280
2.733333,11.221428,6.314820
2.800000,11.289360,8.354820
2.866667,11.292624,8.232420
2.933333,11.210616,5.778300
3.000000,11.253864,7.903980
3.066667,11.275488,8.026380
3.133333,11.340768,5.240760
3.200000,11.287728,7.682640
3.266667,11.293644,7.229760
3.333333,11.313840,4.774620
3.400000,11.343828,7.470480
3.466667,11.439912,7.644900
3.533333,11.517024,4.003500
3.600000,11.708784,7.573500
3.666667,11.895648,7.535760
3.733333,12.045384,3.227280
3.800000,12.140856,7.187940
3.866667,12.249384,6.265860
3.933333,12.324864,3.316020
4.000000,12.451752,6.506580
4.066667,12.546204,7.326660
4.133333,12.469704,3.050820
4.200000,12.545796,6.261780
4.266667,12.574152,4.714440
4.333333,12.610056,2.232780
4.400000,12.773460,3.683220
4.466667,12.918708,4.090200
4.533333,12.980112,2.076720
4.600000,12.756936,4.068780
4.666667,12.874440,4.057560
4.733333,12.964608,2.334780
4.800000,13.082316,4.731780
4.866667,13.177992,4.977600
4.933333,13.161876,3.132420
5.000000,13.206348,5.840520
5.066667,13.159632,5.786460
5.133333,13.137600,2.831520
5.200000,13.143924,6.239340
5.266667,13.242048,6.570840
5.333333,13.380156,4.328880
5.400000,13.587216,7.569420
5.466667,13.780403,8.722020
5.533333,13.854456,5.080620
5.600000,14.268576,10.776300
5.666667,14.682696,11.459700
5.733333,14.867315,6.043500
5.800000,15.291229,10.926240
5.866667,15.617832,11.848320
5.933333,15.853248,6.817680
6.000000,16.070712,12.741840
6.066667,16.225139,13.266120
6.133333,16.333056,8.423160
6.200000,16.399152,14.045400
6.266667,15.952595,13.699620
6.333333,16.016448,7.680600
6.400000,16.110696,12.735720
6.466667,16.217795,12.142080
6.533333,16.344888,7.909080
6.600000,16.411187,12.410340
6.666667,16.538483,12.024780
6.733333,16.771248,7.769340
6.800000,16.932408,11.961540
6.866667,16.979736,12.322620
6.933333,17.065416,7.773420
7.000000,17.061539,12.479700
7.066667,17.047464,12.686760
7.133333,17.107032,8.366040
7.200000,17.393448,14.807340
7.266667,17.733312,14.484000
7.333333,17.978112,8.524140
7.400000,18.296963,13.831200
7.466667,18.587256,14.085180
7.533333,18.673752,8.741400
7.600000,19.019123,14.963400
7.666667,19.101949,16.544400
7.733333,19.197216,10.030680
7.800000,19.363475,17.227800
7.866667,19.412640,17.260440
7.933333,19.313904,10.730400
8.000000,19.300643,16.343460
8.066667,19.253520,16.481160
8.133333,19.306560,10.226520
8.200000,19.311661,16.937100
8.266666,19.366333,16.855500
8.333333,19.395504,9.999060
8.400000,19.424269,16.882020
8.466666,19.557072,17.131920
8.533334,19.606440,10.513140
8.600000,19.709869,17.031960
8.666667,19.801667,16.442400
