Sec,Queue,Dynamic
0,5.542884,27.714420
0.066667,5.378664,26.893320
0.133333,5.779932,28.899660
0.200000,0.000000,0.000000
0.266667,8.495172,30.938640
0.333333,9.087384,32.549220
0.400000,9.919296,38.069460
0.466667,0.000000,0.000000
0.533333,10.818324,44.569920
0.600000,10.944804,51.715020
0.666667,11.107800,53.950860
0.733333,0.000000,0.000000
0.800000,11.181852,55.560420
0.866667,11.250804,54.238500
0.933333,11.243460,48.223560
1.000000,0.000000,0.000000
1.066667,11.325060,49.519980
1.133333,11.455212,42.808380
1.200000,11.568024,45.916320
1.266667,0.000000,0.000000
1.333333,11.474388,36.713880
1.400000,11.413596,39.819780
1.466667,11.481120,38.995620
1.533333,0.000000,0.000000
1.600000,11.798340,38.223480
1.666667,12.375048,39.602520
1.733333,12.510912,36.166140
1.800000,0.000000,0.000000
1.866667,13.054776,40.144140
1.933333,13.153308,37.628820
2.000000,13.146984,41.306940
2.066667,0.000000,0.000000
2.133333,13.233684,38.156160
2.200000,13.136988,40.747980
2.266667,13.159224,40.184940
2.333333,0.000000,0.000000
2.400000,13.178196,38.196960
2.466667,13.091292,37.049460
2.533333,13.119852,32.470680
2.600000,0.000000,0.000000
2.666667,13.068036,33.662040
2.733333,12.995412,30.808080
2.800000,13.045596,31.991280
2.866667,0.000000,0.000000
2.933333,12.800388,27.758280
3.000000,12.847512,29.287260
3.066667,12.869748,28.491660
3.133333,0.000000,0.000000
3.200000,12.803856,26.314980
3.266667,12.780600,25.127700
3.333333,12.732864,21.843300
3.400000,0.000000,0.000000
3.466667,12.656772,21.977940
3.533333,12.603528,19.388160
3.600000,12.621072,21.445500
3.666667,0.000000,0.000000
3.733333,12.619440,18.088680
3.800000,12.502548,19.646220
3.866667,12.423396,18.403860
3.933333,0.000000,0.000000
4.000000,12.469092,17.580720
4.066667,12.446040,16.812660
4.133333,12.445020,15.480540
4.200000,0.000000,0.000000
4.266667,12.466440,16.212900
4.333333,12.492144,13.848540
4.400000,12.458688,14.507460
4.466667,0.000000,0.000000
4.533333,12.535800,11.414820
4.600000,12.424620,11.940120
4.666667,12.460116,12.111480
4.733333,0.000000,0.000000
4.800000,12.573744,9.678780
4.866667,12.666564,9.054540
4.933333,12.672684,7.654080
5.000000,0.000000,0.000000
5.066667,12.713484,8.762820
5.133333,12.712056,8.113080
5.200000,12.732864,8.760780
5.266667,0.000000,0.000000
5.333333,12.758568,8.600640
5.400000,12.813036,9.132060
5.466667,12.928296,9.313620
5.533333,0.000000,0.000000
5.600000,14.015821,14.130060
5.666667,14.805709,17.946900
5.733333,15.173315,18.689460
5.800000,0.000000,0.000000
5.866667,16.731264,23.792520
5.933333,17.064600,22.204380
6.000000,17.562768,28.177500
6.066667,0.000000,0.000000
6.133333,18.074605,29.865600
6.200000,18.089699,34.327080
6.266667,17.852040,35.258340
6.333333,0.000000,0.000000
6.400000,18.014424,35.732640
6.466667,18.153960,34.085340
6.533333,18.254941,29.062860
6.600000,0.000000,0.000000
6.666667,18.440173,30.165480
6.733333,18.627240,24.872700
6.800000,18.726589,28.011240
6.866667,0.000000,0.000000
6.933333,18.787992,24.556500
7.000000,18.769632,27.769500
7.066667,19.016472,29.076120
7.133333,0.000000,0.000000
7.200000,20.172131,34.645320
7.266667,20.911427,38.289780
7.333333,21.356352,36.500700
7.400000,0.000000,0.000000
7.466667,22.484880,42.831840
7.533333,22.690920,39.010920
7.600000,23.030376,46.090740
7.666667,0.000000,0.000000
7.733333,23.559347,45.033000
7.800000,23.599741,52.015920
7.866667,23.613203,53.195040
7.933333,0.000000,0.000000
8.000000,23.350861,53.696880
8.066667,23.267219,52.864560
8.133333,23.257021,45.880620
8.200000,0.000000,0.000000
8.266666,23.162568,49.849440
8.333333,23.177459,43.319400
8.400000,23.086067,48.334740
8.466666,0.000000,0.000000
8.533334,23.021197,42.420780
8.600000,22.972848,46.405920
8.666667,22.951224,45.876540
8.733334,0.000000,0.000000
8.800000,22.846368,44.415900
8.866667,22.768237,42.250440
8.933333,22.793533,37.445220
9.000000,0.000000,0.000000
9.066667,22.783741,38.445840
9.133333,22.739267,35.019660
9.200000,22.708056,37.920540
9.266666,0.000000,0.000000
9.333333,22.728253,32.769540
9.400000,22.666032,35.483760
9.466666,22.727640,34.080240
9.533334,0.000000,0.000000
9.600000,22.677864,32.293200
9.666667,22.781496,31.585320
9.733334,22.904509,27.528780
9.800000,0.000000,0.000000
9.866667,22.830659,29.491260
9.933333,22.747224,25.595880
